season,season_week,week_start_date,denv1_cases,denv2_cases,denv3_cases,denv4_cases,other_positive_cases,additional_cases,total_cases
1990/1991,1,4/30/1990,0,0,0,0,4,0,4
1990/1991,2,5/7/1990,0,0,0,0,5,0,5
1990/1991,3,5/14/1990,0,0,0,0,4,0,4
1990/1991,4,5/21/1990,0,0,0,0,3,0,3
1990/1991,5,5/28/1990,0,0,0,0,6,0,6
1990/1991,6,6/4/1990,1,0,0,0,1,0,2
1990/1991,7,6/11/1990,0,0,0,0,4,0,4
1990/1991,8,6/18/1990,0,0,0,0,5,0,5
1990/1991,9,6/25/1990,2,0,0,0,8,0,10
1990/1991,10,7/2/1990,0,0,0,1,5,0,6
1990/1991,11,7/9/1990,0,0,0,0,8,0,8
1990/1991,12,7/16/1990,0,0,0,0,2,0,2
1990/1991,13,7/23/1990,0,2,0,0,4,0,6
1990/1991,14,7/30/1990,0,1,0,1,15,0,17
1990/1991,15,8/6/1990,1,1,0,0,21,0,23
1990/1991,16,8/13/1990,0,1,0,1,11,0,13
1990/1991,17,8/20/1990,0,0,0,1,20,0,21
1990/1991,18,8/27/1990,0,3,0,0,25,0,28
1990/1991,19,9/3/1990,1,2,0,3,18,0,24
1990/1991,20,9/10/1990,0,1,0,0,19,0,20
1990/1991,21,9/17/1990,0,4,0,0,36,0,40
1990/1991,22,9/24/1990,0,1,0,1,25,0,27
1990/1991,23,10/1/1990,0,3,0,4,35,0,42
1990/1991,24,10/8/1990,0,2,0,0,31,0,33
1990/1991,25,10/15/1990,0,3,0,0,40,0,43
1990/1991,26,10/22/1990,1,2,0,1,33,0,37
1990/1991,27,10/29/1990,0,4,0,1,52,0,57
1990/1991,28,11/5/1990,0,1,0,3,67,0,71
1990/1991,29,11/12/1990,0,0,0,1,43,0,44
1990/1991,30,11/19/1990,0,0,0,0,56,0,56
1990/1991,31,11/26/1990,0,0,0,3,49,1,53
1990/1991,32,12/3/1990,2,2,0,1,47,0,52
1990/1991,33,12/10/1990,1,3,0,5,38,0,47
1990/1991,34,12/17/1990,0,3,0,1,22,0,26
1990/1991,35,12/24/1990,0,2,0,0,25,0,27
1990/1991,36,1/1/1991,0,2,0,1,18,0,21
1990/1991,37,1/8/1991,0,1,0,3,17,0,21
1990/1991,38,1/15/1991,0,0,0,1,25,0,26
1990/1991,39,1/22/1991,0,0,0,0,34,0,34
1990/1991,40,1/29/1991,0,3,0,0,34,0,37
1990/1991,41,2/5/1991,0,0,0,2,15,0,17
1990/1991,42,2/12/1991,1,1,0,0,17,0,19
1990/1991,43,2/19/1991,1,3,0,0,21,0,25
1990/1991,44,2/26/1991,0,0,0,1,17,0,18
1990/1991,45,3/5/1991,1,1,0,1,18,0,21
1990/1991,46,3/12/1991,0,0,0,0,17,0,17
1990/1991,47,3/19/1991,0,0,0,0,17,0,17
1990/1991,48,3/26/1991,1,2,0,1,12,0,16
1990/1991,49,4/2/1991,0,2,0,1,13,0,16
1990/1991,50,4/9/1991,0,0,0,1,14,0,15
1990/1991,51,4/16/1991,1,0,0,0,22,0,23
1990/1991,52,4/23/1991,0,2,0,0,14,0,16
1991/1992,1,4/30/1991,0,1,0,0,16,0,17
1991/1992,2,5/7/1991,0,0,0,0,12,0,12
1991/1992,3,5/14/1991,1,2,0,0,14,0,17
1991/1992,4,5/21/1991,0,2,0,0,8,0,10
1991/1992,5,5/28/1991,0,1,0,0,14,0,15
1991/1992,6,6/4/1991,2,1,0,1,15,0,19
1991/1992,7,6/11/1991,0,2,0,4,15,0,21
1991/1992,8,6/18/1991,0,2,0,2,10,0,14
1991/1992,9,6/25/1991,4,0,0,1,13,0,18
1991/1992,10,7/2/1991,0,0,0,4,9,0,13
1991/1992,11,7/9/1991,0,0,0,1,13,0,14
1991/1992,12,7/16/1991,0,0,0,0,17,1,18
1991/1992,13,7/23/1991,0,0,0,0,23,0,23
1991/1992,14,7/30/1991,0,1,0,1,23,0,25
1991/1992,15,8/6/1991,8,3,0,1,50,0,62
1991/1992,16,8/13/1991,3,4,0,0,53,0,60
1991/1992,17,8/20/1991,6,9,0,1,60,0,76
1991/1992,18,8/27/1991,7,0,0,4,55,0,66
1991/1992,19,9/3/1991,5,4,0,0,55,0,64
1991/1992,20,9/10/1991,1,2,0,2,63,0,68
1991/1992,21,9/17/1991,1,2,0,0,86,0,89
1991/1992,22,9/24/1991,7,6,0,1,78,0,92
1991/1992,23,10/1/1991,1,8,0,2,129,0,140
1991/1992,24,10/8/1991,0,4,0,0,110,2,116
1991/1992,25,10/15/1991,7,4,0,4,127,0,142
1991/1992,26,10/22/1991,14,3,0,2,108,2,129
1991/1992,27,10/29/1991,6,3,0,4,126,1,140
1991/1992,28,11/5/1991,10,1,0,3,126,0,140
1991/1992,29,11/12/1991,5,6,0,5,111,0,127
1991/1992,30,11/19/1991,8,5,0,4,111,1,129
1991/1992,31,11/26/1991,11,3,0,6,148,1,169
1991/1992,32,12/3/1991,3,3,0,3,131,1,141
1991/1992,33,12/10/1991,4,5,0,4,95,0,108
